test_number,stageinflight,time(s),ax(ms2),ay(ms2),az(ms2),gx(deg/s),gy(deg/s),gz(deg/s),pitch_error(deg),roll_error(deg),yaw_error(deg),m0_output(pwm),m1_output(pwm),m2_output(pwm),m3_output(pwm)
3, 1, 56.22, -0.70, 0.24, 9.72, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.88, 1007.53, 1004.11, 1012.49
3, 1, 56.22, -0.71, 0.23, 9.69, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.53, 1004.11, 1012.49
3, 1, 56.22, -0.67, 0.23, 9.68, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.88, 1007.53, 1004.11, 1012.49
3, 1, 56.23, -0.68, 0.28, 9.65, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.53, 1004.11, 1012.49
3, 1, 56.23, -0.67, 0.26, 9.66, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.53, 1004.11, 1012.49
3, 1, 56.24, -0.61, 0.24, 9.71, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.88, 1006.53, 1003.11, 1011.49
3, 1, 56.24, -0.66, 0.26, 9.65, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.53, 1003.10, 1011.49
3, 1, 56.25, -0.60, 0.24, 9.73, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.53, 1003.11, 1011.49
3, 1, 56.25, -0.63, 0.18, 9.62, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.26, -0.64, 0.21, 9.65, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.53, 1004.10, 1012.49
3, 1, 56.26, -0.63, 0.24, 9.65, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.53, 1004.10, 1012.49
3, 1, 56.27, -0.66, 0.24, 9.70, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.27, -0.66, 0.24, 9.72, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.53, 1004.10, 1012.49
3, 1, 56.27, -0.64, 0.24, 9.67, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.11, 1012.49
3, 1, 56.28, -0.64, 0.21, 9.68, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.28, -0.62, 0.26, 9.73, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.53, 1003.11, 1011.49
3, 1, 56.29, -0.65, 0.21, 9.68, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.11, 1011.49
3, 1, 56.29, -0.62, 0.19, 9.76, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.53, 1003.10, 1011.49
3, 1, 56.29, -0.66, 0.27, 9.64, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.53, 1003.11, 1011.50
3, 1, 56.30, -0.57, 0.24, 9.70, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.53, 1003.11, 1011.49
3, 1, 56.30, -0.65, 0.18, 9.71, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.11, 1011.49
3, 1, 56.31, -0.63, 0.23, 9.68, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.11, 1011.49
3, 1, 56.31, -0.61, 0.24, 9.62, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.53, 1003.11, 1011.49
3, 1, 56.31, -0.67, 0.22, 9.68, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.11, 1011.49
3, 1, 56.32, -0.66, 0.16, 9.74, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.32, -0.62, 0.15, 9.71, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.33, -0.63, 0.22, 9.73, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.11, 1012.49
3, 1, 56.33, -0.59, 0.20, 9.64, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.53, 1004.11, 1012.49
3, 1, 56.33, -0.63, 0.19, 9.64, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.11, 1012.49
3, 1, 56.34, -0.61, 0.17, 9.74, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.11, 1011.49
3, 1, 56.34, -0.62, 0.17, 9.66, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.35, -0.68, 0.21, 9.71, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.35, -0.62, 0.25, 9.69, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.53, 1003.11, 1011.49
3, 1, 56.35, -0.62, 0.19, 9.64, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.36, -0.66, 0.21, 9.67, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.36, -0.62, 0.22, 9.73, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.37, -0.62, 0.21, 9.68, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.37, -0.62, 0.23, 9.69, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.37, -0.61, 0.24, 9.68, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.38, -0.65, 0.22, 9.70, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.38, -0.64, 0.24, 9.66, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.39, -0.69, 0.23, 9.73, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.39, -0.66, 0.19, 9.65, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.39, -0.64, 0.25, 9.69, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.40, -0.65, 0.24, 9.67, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.40, -0.66, 0.22, 9.62, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.41, -0.65, 0.22, 9.75, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.41, -0.62, 0.18, 9.73, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.88, 1006.54, 1003.10, 1011.49
3, 1, 56.41, -0.67, 0.19, 9.68, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.09, 1011.49
3, 1, 56.42, -0.65, 0.19, 9.73, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.42, -0.63, 0.18, 9.63, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.43, -0.62, 0.21, 9.75, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.43, -0.59, 0.23, 9.72, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.43, -0.63, 0.28, 9.68, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.44, -0.62, 0.24, 9.62, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.44, -0.65, 0.19, 9.74, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.45, -0.63, 0.20, 9.76, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.45, -0.64, 0.28, 9.72, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.45, -0.67, 0.25, 9.69, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.54, 1003.10, 1011.49
3, 1, 56.46, -0.63, 0.18, 9.63, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.46, -0.65, 0.19, 9.72, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.47, -0.68, 0.15, 9.67, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.10, 1012.49
3, 1, 56.47, -0.64, 0.23, 9.72, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.47, -0.65, 0.21, 9.66, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.54, 1004.10, 1012.49
3, 1, 56.48, -0.59, 0.20, 9.60, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.54, 1003.10, 1011.49
3, 1, 56.48, -0.66, 0.20, 9.71, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.54, 1003.10, 1011.49
3, 1, 56.49, -0.70, 0.25, 9.68, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.54, 1003.10, 1011.49
3, 1, 56.49, -0.62, 0.29, 9.68, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.54, 1003.10, 1011.49
3, 1, 56.49, -0.70, 0.19, 9.68, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.49
3, 1, 56.50, -0.68, 0.23, 9.68, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.49
3, 1, 56.50, -0.68, 0.19, 9.67, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.48
3, 1, 56.51, -0.63, 0.24, 9.66, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.48
3, 1, 56.51, -0.67, 0.20, 9.76, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.55, 1003.10, 1011.48
3, 1, 56.51, -0.62, 0.19, 9.70, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.48
3, 1, 56.52, -0.68, 0.20, 9.72, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.86, 1007.55, 1004.10, 1012.48
3, 1, 56.52, -0.66, 0.12, 9.64, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.10, 1012.48
3, 1, 56.53, -0.62, 0.25, 9.63, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.86, 1007.55, 1004.10, 1012.48
3, 1, 56.53, -0.71, 0.24, 9.72, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.86, 1007.55, 1004.10, 1012.49
3, 1, 56.53, -0.63, 0.23, 9.72, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.10, 1012.48
3, 1, 56.54, -0.61, 0.19, 9.78, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.10, 1012.48
3, 1, 56.54, -0.66, 0.21, 9.72, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.10, 1012.49
3, 1, 56.55, -0.62, 0.20, 9.68, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.10, 1012.48
3, 1, 56.55, -0.71, 0.21, 9.65, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.09, 1012.49
3, 1, 56.55, -0.65, 0.14, 9.67, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.10, 1012.48
3, 1, 56.56, -0.65, 0.22, 9.62, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.49
3, 1, 56.56, -0.71, 0.20, 9.69, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.49
3, 1, 56.57, -0.66, 0.26, 9.67, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.86, 1006.55, 1003.10, 1011.49
3, 1, 56.57, -0.59, 0.18, 9.74, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.48
3, 1, 56.57, -0.63, 0.23, 9.62, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.55, 1003.10, 1011.48
3, 1, 56.58, -0.56, 0.17, 9.66, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.87, 1007.55, 1004.10, 1012.48
3, 1, 56.58, -0.68, 0.20, 9.68, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.86, 1007.56, 1004.10, 1012.48
3, 1, 56.59, -0.63, 0.23, 9.65, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.86, 1007.55, 1004.10, 1012.48
3, 1, 56.59, -0.64, 0.18, 9.63, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.86, 1007.55, 1004.10, 1012.48
3, 1, 56.59, -0.65, 0.20, 9.62, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.86, 1007.55, 1004.10, 1012.48
3, 1, 56.60, -0.64, 0.20, 9.67, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.86, 1006.55, 1003.10, 1011.48
3, 1, 56.60, -0.62, 0.19, 9.77, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.87, 1006.55, 1003.10, 1011.48
3, 1, 56.61, -0.69, 0.20, 9.59, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.55, 1003.10, 1011.49
3, 1, 56.61, -0.60, 0.25, 9.66, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.55, 1003.10, 1011.49
3, 1, 56.61, -0.67, 0.18, 9.72, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.86, 1006.56, 1003.10, 1011.48
3, 1, 56.62, -0.64, 0.25, 9.69, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.86, 1007.55, 1004.10, 1012.49
3, 1, 56.62, -0.68, 0.23, 9.67, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.86, 1007.55, 1004.10, 1012.49
3, 1, 56.63, -0.69, 0.23, 9.68, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.85, 1007.56, 1004.10, 1012.49
3, 1, 56.63, -0.70, 0.26, 9.70, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.85, 1007.56, 1004.11, 1012.49
3, 1, 56.63, -0.68, 0.23, 9.74, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.85, 1007.56, 1004.10, 1012.49
3, 1, 56.64, -0.66, 0.22, 9.72, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.11, 1011.49
3, 1, 56.64, -0.71, 0.28, 9.67, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.11, 1011.49
3, 1, 56.65, -0.61, 0.15, 9.75, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.10, 1011.48
3, 1, 56.65, -0.64, 0.17, 9.67, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.10, 1011.48
3, 1, 56.65, -0.63, 0.28, 9.70, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.11, 1011.48
3, 1, 56.66, -0.68, 0.21, 9.70, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.10, 1011.49
3, 1, 56.66, -0.67, 0.21, 9.62, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.10, 1011.48
3, 1, 56.67, -0.63, 0.19, 9.72, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.10, 1011.48
3, 1, 56.67, -0.69, 0.19, 9.68, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.10, 1011.48
3, 1, 56.67, -0.56, 0.17, 9.74, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.86, 1006.56, 1003.11, 1011.48
3, 1, 56.68, -0.65, 0.17, 9.66, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.85, 1007.56, 1004.10, 1012.48
3, 1, 56.68, -0.58, 0.17, 9.71, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.85, 1007.57, 1004.11, 1012.48
3, 1, 56.69, -0.63, 0.22, 9.68, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.85, 1007.57, 1004.11, 1012.48
3, 1, 56.69, -0.69, 0.12, 9.72, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.85, 1007.58, 1004.10, 1012.47
3, 1, 56.69, -0.62, 0.16, 9.64, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.85, 1007.57, 1004.11, 1012.47
3, 1, 56.70, -0.66, 0.24, 9.68, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.11, 1011.48
3, 1, 56.70, -0.63, 0.21, 9.68, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.47
3, 1, 56.71, -0.65, 0.22, 9.70, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.48
3, 1, 56.71, -0.67, 0.23, 9.71, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.48
3, 1, 56.71, -0.65, 0.25, 9.67, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.56, 1003.11, 1011.48
3, 1, 56.72, -0.63, 0.21, 9.67, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.48
3, 1, 56.72, -0.65, 0.23, 9.69, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.48
3, 1, 56.73, -0.68, 0.26, 9.65, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.48
3, 1, 56.73, -0.64, 0.24, 9.67, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.48
3, 1, 56.73, -0.70, 0.22, 9.69, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.11, 1011.48
3, 1, 56.74, -0.65, 0.18, 9.72, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.47
3, 1, 56.74, -0.68, 0.17, 9.72, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.11, 1011.48
3, 1, 56.75, -0.60, 0.21, 9.66, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.11, 1011.48
3, 1, 56.75, -0.59, 0.24, 9.67, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.11, 1011.48
3, 1, 56.75, -0.66, 0.19, 9.66, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.76, -0.63, 0.23, 9.68, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.85, 1007.57, 1004.11, 1012.48
3, 1, 56.77, -0.68, 0.23, 9.69, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.84, 1007.57, 1004.10, 1012.48
3, 1, 56.77, -0.64, 0.22, 9.71, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.84, 1007.57, 1004.11, 1012.48
3, 1, 56.78, -0.71, 0.23, 9.70, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.84, 1007.57, 1004.10, 1012.48
3, 1, 56.78, -0.64, 0.20, 9.70, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1003.84, 1007.57, 1004.10, 1012.48
3, 1, 56.78, -0.62, 0.19, 9.64, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.84, 1007.57, 1004.11, 1012.48
3, 1, 56.79, -0.64, 0.22, 9.76, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.84, 1007.57, 1004.11, 1012.48
3, 1, 56.79, -0.66, 0.27, 9.69, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.84, 1007.57, 1004.11, 1012.48
3, 1, 56.79, -0.63, 0.17, 9.66, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.80, -0.67, 0.20, 9.66, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.80, -0.64, 0.25, 9.72, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.11, 1011.48
3, 1, 56.81, -0.57, 0.21, 9.76, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.11, 1011.48
3, 1, 56.81, -0.63, 0.21, 9.76, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.81, -0.62, 0.21, 9.75, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.10, 1011.48
3, 1, 56.82, -0.68, 0.18, 9.69, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.82, -0.65, 0.27, 9.66, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.49
3, 1, 56.83, -0.61, 0.19, 9.66, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.85, 1006.57, 1003.10, 1011.48
3, 1, 56.83, -0.64, 0.24, 9.74, -0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.49
3, 1, 56.83, -0.64, 0.20, 9.69, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.84, -0.60, 0.17, 9.66, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.84, -0.62, 0.23, 9.75, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.85, -0.66, 0.20, 9.70, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.84, 1006.58, 1003.10, 1011.48
3, 1, 56.85, -0.62, 0.23, 9.63, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.11, 1011.48
3, 1, 56.85, -0.61, 0.22, 9.73, -0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.11, 1011.48
3, 1, 56.86, -0.64, 0.25, 9.60, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.84, 1006.57, 1003.10, 1011.48
3, 1, 56.86, -0.67, 0.30, 9.68, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.83, 1006.57, 1003.11, 1011.49
